#Day,Billing ID,Creative ID,Creative size,Creative format,Reached queries,Impressions
12/1/25,72245759413,100518,300x250,Video,10503,3424
12/1/25,72245759413,100528,320x140,Video,173,78
12/1/25,72245759413,100530,320x140,Video,159,71
12/1/25,72245759413,100530,Interstitial,Video,3,1
12/1/25,72245759413,101150,336x280,Video,3,1
12/1/25,72245759413,101150,336x300,Video,388,225
12/1/25,72245759413,101150,344x600,Video,1,1
12/1/25,72245759413,101150,344x612,Video,1,0
12/1/25,72245759413,101150,344x614,Video,1,1
12/1/25,72245759413,101150,344x632,Video,1,1
12/1/25,72245759413,101150,344x653,Video,1,0
12/1/25,72245759413,101150,360x300,Video,5,0
12/1/25,72245759413,101150,384x320,Video,2,0
12/1/25,72245759413,101150,411x343,Video,1,0
12/1/25,72245759413,101150,Interstitial,Video,8040,3766
12/1/25,72245759413,101150,Video/Overlay,Video,5179,1685
12/1/25,72245759413,101151,336x280,Video,3,2
12/1/25,72245759413,101151,336x300,Video,413,239
12/1/25,72245759413,101151,344x568,Video,1,1
12/1/25,72245759413,101151,344x638,Video,1,0
12/1/25,72245759413,101151,360x300,Video,4,0
12/1/25,72245759413,101151,384x320,Video,2,0
12/1/25,72245759413,101151,392x327,Video,2,0
12/1/25,72245759413,101151,393x328,Video,1,0
12/1/25,72245759413,101151,Interstitial,Video,8228,3940
12/1/25,72245759413,101151,Video/Overlay,Video,5257,1708
12/1/25,72245759413,101152,320x267,Video,1,0
12/1/25,72245759413,101152,336x280,Video,7,0
12/1/25,72245759413,101152,336x300,Video,2370,1232
12/1/25,72245759413,101152,360x300,Video,15,2
12/1/25,72245759413,101152,384x320,Video,2,0
12/1/25,72245759413,101152,392x327,Video,8,0
12/1/25,72245759413,101152,411x343,Video,2,0
12/1/25,72245759413,101152,423x353,Video,2,1
12/1/25,72245759413,101152,433x361,Video,1,0
12/1/25,72245759413,101152,Interstitial,Video,5326,1830
12/1/25,72245759413,101152,Video/Overlay,Video,2885,942
12/1/25,72245759413,101153,327x273,Video,1,0
12/1/25,72245759413,101153,336x280,Video,6,1
12/1/25,72245759413,101153,336x300,Video,2392,1271
12/1/25,72245759413,101153,349x291,Video,1,0
12/1/25,72245759413,101153,357x298,Video,1,0
12/1/25,72245759413,101153,360x300,Video,16,2
12/1/25,72245759413,101153,384x320,Video,8,0
12/1/25,72245759413,101153,392x327,Video,4,0
12/1/25,72245759413,101153,411x343,Video,2,0
12/1/25,72245759413,101153,Interstitial,Video,5299,1753
12/1/25,72245759413,101153,Video/Overlay,Video,2779,910
