#Day,Creative ID,Country,Bids,Bids in auction,Reached queries
12/1/25,100518,India,10676,10676,10506
12/1/25,100528,India,183,183,173
12/1/25,100530,India,173,173,163
12/1/25,101150,India,40377,39232,13832
12/1/25,101151,India,40822,39587,14116
12/1/25,101152,India,152022,149008,10803
12/1/25,101153,India,152344,149357,10711
12/1/25,101755,India,478379,455056,63974
12/1/25,101757,India,478558,781,434
12/1/25,101759,India,466620,441105,61875
12/1/25,101763,India,477721,280272,44030
12/1/25,101774,India,35072,4697,1532
12/1/25,101859,United States,20650,20650,7034
12/1/25,101874,United States,3979,3979,1453
12/1/25,101875,United States,4054,4054,1479
12/1/25,101881,United States,4073,4072,1472
12/1/25,101884,United States,4036,4036,1462
12/1/25,102850,India,427408,263617,74124
12/1/25,103418,United States,284317,222192,7827
12/1/25,103444,United States,28014,27023,1462
12/1/25,103549,United States,4587,4166,3159
12/1/25,103580,Canada,14647,11002,740
12/1/25,103595,Philippines,11,6,3
12/1/25,103605,Mexico,16653,11876,2159
12/1/25,103607,Mexico,16703,13363,2322
12/1/25,103629,Peru,741,605,132
12/1/25,103641,India,3364,2809,1493
12/1/25,103643,India,3249,1964,1337
12/1/25,103649,Brazil,2838,1814,740
12/1/25,103659,South Korea,748,659,179
12/1/25,104347,United States,17030,163,15
12/1/25,104348,United States,16920,16920,1131
12/1/25,104350,India,49070,47590,18370
12/1/25,104354,India,49430,48005,18463
12/1/25,104355,India,48859,47433,18377
12/1/25,104373,Indonesia,27020,26835,23723
12/1/25,104377,Indonesia,27042,26869,23747
12/1/25,104381,Indonesia,11176,10740,9658
12/1/25,104409,United States,46852,40800,1335
12/1/25,104415,United States,152905,143013,15313
12/1/25,104416,United States,267424,209675,26872
12/1/25,104609,United States,28275,27243,2003
12/1/25,104614,India,39105,23416,8960
12/1/25,104615,India,39692,37375,11383
12/1/25,104727,India,26226,26077,22365
12/1/25,104756,India,73844,50204,17833
12/1/25,104757,India,73827,50537,17775
12/1/25,104758,India,74087,50336,17626
12/1/25,104761,India,74248,50359,17715
12/1/25,104762,India,73778,49810,17633
12/1/25,104764,India,74146,19167,6072
12/1/25,104765,India,74522,50497,17784
12/1/25,104766,India,74413,50268,17671
12/1/25,104767,India,73433,49836,17410
12/1/25,104768,India,74284,50568,17619
12/1/25,105930,India,42598,41175,11324
12/1/25,105934,India,42280,40933,11289
12/1/25,106285,United States,28218,3376,1398
12/1/25,106286,United States,28445,27669,2183
12/1/25,106287,United States,28002,27266,2129
12/1/25,106427,United States,28385,27602,2131
12/1/25,106430,United States,28393,27299,1883
12/1/25,106432,United States,28127,27333,2074
12/1/25,106671,India,40713,39535,14131
12/1/25,106672,India,40882,39698,14107
12/1/25,106673,India,5611,5581,2693
12/1/25,106675,India,5558,5536,2735
12/1/25,106688,India,152509,149467,10758
12/1/25,106689,India,149610,146560,7210
12/1/25,106697,United States,472278,369091,31383
12/1/25,106698,United States,470597,367629,31203
12/1/25,106706,United States,284079,221911,7937
12/1/25,106707,United States,284833,222603,7846
12/1/25,106749,India,42212,40813,11314
12/1/25,106750,India,42390,40944,11256
12/1/25,106751,India,42340,40907,11340
12/1/25,107941,United States,470828,456162,27498
12/1/25,107942,United States,470142,453960,27491
12/1/25,107943,United States,468333,451882,27091
12/1/25,107959,India,73647,69641,20734
12/1/25,107960,India,73868,49269,17277
12/1/25,107961,India,73567,69007,20563
12/1/25,107962,India,73612,50045,17632
12/1/25,107963,India,73856,49327,17570
12/1/25,107964,India,74005,49607,17557
12/1/25,108274,Indonesia,7731,7316,1796
12/1/25,108276,Indonesia,7674,7189,1864
12/1/25,108277,Indonesia,5664,5402,1067
12/1/25,108278,Indonesia,5806,2774,472
12/1/25,108279,Indonesia,7750,7309,1822
12/1/25,108280,Indonesia,5865,2809,468
12/1/25,108281,Indonesia,7759,7343,1716
12/1/25,108282,Indonesia,7534,3820,748
12/1/25,108283,Indonesia,5702,5304,1006
12/1/25,108284,Indonesia,7464,7007,1761
12/1/25,108285,Indonesia,7666,7242,1778
12/1/25,108286,Indonesia,7772,7340,1864
12/1/25,108287,Indonesia,7737,7300,1780
12/1/25,108444,India,26059,26050,22274
12/1/25,108459,Vietnam,528,480,272
12/1/25,108547,Philippines,2,0,0
12/1/25,108558,Philippines,2,0,0
12/1/25,108560,Philippines,1,0,0
12/1/25,108607,Brazil,19183,16217,2277
12/1/25,108608,Brazil,19079,16189,2220
12/1/25,108609,Brazil,19159,16194,2226
12/1/25,108610,Brazil,18972,16020,2178
12/1/25,108611,Brazil,19244,16078,2095
12/1/25,108612,Brazil,10069,8570,1217
12/1/25,108613,Brazil,19515,16565,2321
12/1/25,108614,Brazil,10384,8899,1341
12/1/25,108615,Brazil,19448,16381,2284
12/1/25,108677,India,10613,10613,10459
12/1/25,108678,India,10532,10532,10363
12/1/25,110045,United States,20735,19978,7023
12/1/25,110099,United States,4537,4145,3099
12/1/25,111532,India,427068,263225,74370
12/1/25,111555,India,24633,24627,21535
12/1/25,116588,Philippines,40267,38185,9883
12/1/25,116589,Philippines,98288,93778,8707
12/1/25,116590,Philippines,98094,93876,8538
12/1/25,116591,Philippines,97627,93115,8438
12/1/25,116593,Philippines,97841,93552,8393
12/1/25,116639,Mexico,19058,15136,1057
12/1/25,116641,Mexico,19272,15340,1071
12/1/25,128158,Canada,14681,11216,763
12/1/25,128159,Canada,14609,11153,753
12/1/25,128161,United States,4506,4164,3109
12/1/25,128245,India,3490,3056,1717
12/1/25,128246,India,3291,3040,1578
12/1/25,128278,India,3329,3050,1643
12/1/25,128289,United States,109208,84749,6112
12/1/25,128352,United States,108053,83606,5639
12/1/25,128356,Peru,735,611,147
12/1/25,128369,Brazil,2895,2001,745
12/1/25,128370,Brazil,2839,1930,721
12/1/25,128453,South Korea,742,643,159
12/1/25,128454,South Korea,786,700,185
12/1/25,128518,Japan,6863,6324,865
12/1/25,129728,Vietnam,511,472,261
12/1/25,129729,Vietnam,529,505,254
12/1/25,129733,Saudi Arabia,6,6,0
12/1/25,129733,United Arab Emirates,126,124,40
12/1/25,129734,Saudi Arabia,11,11,3
12/1/25,129734,United Arab Emirates,93,91,29
12/1/25,129740,Saudi Arabia,9,8,1
12/1/25,129740,United Arab Emirates,111,107,21
12/1/25,129741,Saudi Arabia,10,9,2
12/1/25,129741,United Arab Emirates,142,138,31
12/1/25,129799,Philippines,8,3,3
12/1/25,129800,Philippines,6,5,2
