#Creative ID,Buyer account name,Day,Country,Bids,Reached queries,Bids in auction,Auctions won
100518,Tuky Data Research Ltd.,12/2/25,India,9087,9047,9087,9047
100528,Tuky Data Research Ltd.,12/2/25,India,258,252,258,252
100530,Tuky Data Research Ltd.,12/2/25,India,267,263,267,263
101150,Tuky Data Research Ltd.,12/2/25,India,57358,18534,54696,20108
101151,Tuky Data Research Ltd.,12/2/25,India,57401,18451,54692,19978
101152,Tuky Data Research Ltd.,12/2/25,India,146962,19794,137686,19530
101153,Tuky Data Research Ltd.,12/2/25,India,146748,19949,137521,19588
101755,Tuky Data Research Ltd.,12/2/25,India,328133,49090,311907,53706
101757,Tuky Data Research Ltd.,12/2/25,India,327630,252,533,446
101759,Tuky Data Research Ltd.,12/2/25,India,321298,46988,302743,50053
101763,Tuky Data Research Ltd.,12/2/25,India,328007,38150,221436,38443
101774,Tuky Data Research Ltd.,12/2/25,India,12283,2410,5149,2332
101859,Tuky Data Research Ltd.,12/2/25,United States,16092,5656,16092,5653
101874,Tuky Data Research Ltd.,12/2/25,United States,4734,1997,4734,1883
101875,Tuky Data Research Ltd.,12/2/25,United States,4787,1942,4786,1807
101881,Tuky Data Research Ltd.,12/2/25,United States,4733,1910,4731,1807
101884,Tuky Data Research Ltd.,12/2/25,United States,4792,1981,4790,1848
102850,Tuky Data Research Ltd.,12/2/25,India,439087,80366,311623,77466
103418,Tuky Data Research Ltd.,12/2/25,United States,171334,6786,134110,7210
103444,Tuky Data Research Ltd.,12/2/25,United States,23596,1175,22631,1025
103549,Tuky Data Research Ltd.,12/2/25,United States,4226,3016,3891,3006
103580,Tuky Data Research Ltd.,12/2/25,Canada,8872,501,6661,478
103595,Tuky Data Research Ltd.,12/2/25,Philippines,5,1,2,1
103605,Tuky Data Research Ltd.,12/2/25,Mexico,11285,1460,7981,1361
103607,Tuky Data Research Ltd.,12/2/25,Mexico,11119,1489,8757,1387
103629,Tuky Data Research Ltd.,12/2/25,Peru,482,75,377,65
103641,Tuky Data Research Ltd.,12/2/25,India,2755,1140,2283,1138
103643,Tuky Data Research Ltd.,12/2/25,India,2671,886,1425,871
103649,Tuky Data Research Ltd.,12/2/25,Brazil,2324,651,1582,550
103659,Tuky Data Research Ltd.,12/2/25,South Korea,1896,498,1709,434
104347,Tuky Data Research Ltd.,12/2/25,United States,17967,18,192,20
104348,Tuky Data Research Ltd.,12/2/25,United States,17865,1219,17861,1388
104350,Tuky Data Research Ltd.,12/2/25,India,71564,21965,67831,23515
104354,Tuky Data Research Ltd.,12/2/25,India,71668,21999,68036,23477
104355,Tuky Data Research Ltd.,12/2/25,India,71061,21927,67524,23430
104373,Tuky Data Research Ltd.,12/2/25,Indonesia,23056,20072,22769,19399
104377,Tuky Data Research Ltd.,12/2/25,Indonesia,23199,20238,22941,19538
104381,Tuky Data Research Ltd.,12/2/25,Indonesia,9478,7949,8543,7589
104409,Tuky Data Research Ltd.,12/2/25,United States,22794,715,20234,736
104415,Tuky Data Research Ltd.,12/2/25,United States,109403,14945,102366,17060
104416,Tuky Data Research Ltd.,12/2/25,United States,190830,26757,153028,28551
104609,Tuky Data Research Ltd.,12/2/25,United States,23772,1436,22753,1190
104614,Tuky Data Research Ltd.,12/2/25,India,35963,9749,25629,9300
104615,Tuky Data Research Ltd.,12/2/25,India,36082,11904,33931,11924
104727,Tuky Data Research Ltd.,12/2/25,India,32498,25819,31785,24611
104756,Tuky Data Research Ltd.,12/2/25,India,71902,18972,52068,17902
104757,Tuky Data Research Ltd.,12/2/25,India,72967,19088,53704,18191
104758,Tuky Data Research Ltd.,12/2/25,India,72404,18981,52259,18038
104761,Tuky Data Research Ltd.,12/2/25,India,72604,18813,52575,17874
104762,Tuky Data Research Ltd.,12/2/25,India,72841,19075,52557,18203
104764,Tuky Data Research Ltd.,12/2/25,India,72714,6770,18888,6360
104765,Tuky Data Research Ltd.,12/2/25,India,72664,18882,52724,17781
104766,Tuky Data Research Ltd.,12/2/25,India,72291,18869,52230,17950
104767,Tuky Data Research Ltd.,12/2/25,India,71948,18908,52038,17826
104768,Tuky Data Research Ltd.,12/2/25,India,72515,19053,53654,18162
105930,Tuky Data Research Ltd.,12/2/25,India,62721,12774,59087,13648
105934,Tuky Data Research Ltd.,12/2/25,India,63607,13012,59933,13834
106285,Tuky Data Research Ltd.,12/2/25,United States,23967,1105,3088,786
106286,Tuky Data Research Ltd.,12/2/25,United States,23865,1732,23229,1487
106287,Tuky Data Research Ltd.,12/2/25,United States,23977,1775,23340,1510
106427,Tuky Data Research Ltd.,12/2/25,United States,24038,1723,23436,1492
106430,Tuky Data Research Ltd.,12/2/25,United States,23888,1444,22862,1178
106432,Tuky Data Research Ltd.,12/2/25,United States,23784,1705,23240,1441
106671,Tuky Data Research Ltd.,12/2/25,India,57357,18753,54749,20281
106672,Tuky Data Research Ltd.,12/2/25,India,57512,18807,54890,20336
106673,Tuky Data Research Ltd.,12/2/25,India,4448,3364,4412,3367
