#Day,Country,Buyer account ID,Hour,Reached queries,Bid requests,Bids,Bids in auction,Auctions won,Successful responses,Inventory matches,Impressions,Clicks
12/16/25,Cambodia,6634662463,00,0,7527610,0,0,0,7522410,8546900,0,0
12/16/25,Cambodia,6634662463,01,0,7840720,0,0,0,7834450,9072240,0,0
12/16/25,Cambodia,6634662463,02,0,4986970,0,0,0,4978280,9387650,0,0
12/16/25,Cambodia,6634662463,03,0,4281300,0,0,0,4270950,11888200,0,0
12/16/25,Cambodia,6634662463,04,0,3955360,0,0,0,3947610,13830660,0,0
12/16/25,Cambodia,6634662463,05,0,3666590,0,0,0,3657120,13271680,0,0
12/16/25,Cambodia,6634662463,06,0,3061610,0,0,0,3054710,10374340,0,0
12/16/25,Cambodia,6634662463,07,0,4523400,0,0,0,4520740,6869350,0,0
12/16/25,Cambodia,6634662463,08,0,3447760,0,0,0,3445270,4069290,0,0
12/16/25,Cambodia,6634662463,09,0,2063800,0,0,0,2060180,2434580,0,0
12/16/25,Cambodia,6634662463,10,0,1479700,0,0,0,1477390,1729120,0,0
12/16/25,Cambodia,6634662463,11,0,1176900,0,0,0,1173860,1384330,0,0
12/16/25,Cambodia,6634662463,12,0,1014120,0,0,0,1011940,1223190,0,0
12/16/25,Cambodia,6634662463,13,0,1211140,0,0,0,1209490,1438840,0,0
12/16/25,Cambodia,6634662463,14,0,2222310,0,0,0,2220860,2635280,0,0
12/16/25,Cambodia,6634662463,15,0,3832420,0,0,0,3830960,4480700,0,0
12/16/25,Cambodia,6634662463,16,0,4482710,0,0,0,4480240,5132240,0,0
12/16/25,Cambodia,6634662463,17,0,5437060,0,0,0,5435050,6193410,0,0
12/16/25,Cambodia,6634662463,18,0,5798550,0,0,0,5792380,6594200,0,0
12/16/25,Cambodia,6634662463,19,0,6570810,0,0,0,6562870,7485550,0,0
12/16/25,Cambodia,6634662463,20,0,7616600,0,0,0,7608620,9510740,0,0
12/16/25,Cambodia,6634662463,21,0,5531250,0,0,0,5524010,9725980,0,0
