file,line,col,category,confidence,text,snippet
dashboard/src/app/admin/configuration/page.tsx,182,66,jsx_text,high,30 days,30 days
dashboard/src/app/admin/page.tsx,161,47,jsx_text,high,&rarr;,&rarr;
dashboard/src/app/admin/page.tsx,171,50,jsx_text,high,&rarr;,&rarr;
dashboard/src/app/admin/page.tsx,181,47,jsx_text,high,&rarr;,&rarr;
dashboard/src/app/admin/page.tsx,236,47,jsx_text,high,&rarr;,&rarr;
dashboard/src/app/admin/settings/page.tsx,15,36,jsx_text,high,Redirecting to Configuration...,Redirecting to Configuration...
dashboard/src/app/admin/users/page.tsx,152,53,call:setError,high,Failed to create user,"""Failed to create user"""
dashboard/src/app/admin/users/page.tsx,359,31,jsx_attr:placeholder,high,user@example.com,"""user@example.com"""
dashboard/src/app/admin/users/page.tsx,370,31,jsx_attr:placeholder,high,John Doe,"""John Doe"""
dashboard/src/app/bill_id/[billingId]/page.tsx,26,11,jsx_text,high,Missing pretargeting config ID (billing_id).,Missing pretargeting config ID (billing_id).
dashboard/src/app/bill_id/[billingId]/page.tsx,40,11,jsx_text,high,Back to configs,Back to configs
dashboard/src/app/campaigns/[id]/page.tsx,96,53,call:setError,high,Failed to load campaign,"""Failed to load campaign"""
dashboard/src/app/campaigns/[id]/page.tsx,109,18,call:confirm,high,Remove this creative from the campaign?,"""Remove this creative from the campaign?"""
dashboard/src/app/campaigns/[id]/page.tsx,119,13,call:alert,high,Failed to remove creative,"""Failed to remove creative"""
dashboard/src/app/campaigns/[id]/page.tsx,135,13,call:alert,high,Failed to update campaign,"""Failed to update campaign"""
dashboard/src/app/campaigns/[id]/page.tsx,140,18,call:confirm,high,Delete this campaign? Creatives will be uncategorized.,"""Delete this campaign? Creatives will be uncategorized."""
dashboard/src/app/campaigns/[id]/page.tsx,146,13,call:alert,high,Failed to delete campaign,"""Failed to delete campaign"""
dashboard/src/app/campaigns/[id]/page.tsx,179,11,jsx_text,high,Back to Creative Clusters,Back to Creative Clusters
dashboard/src/app/campaigns/[id]/page.tsx,182,49,jsx_expr_string,high,Campaign not found,"""Campaign not found"""
dashboard/src/app/campaigns/[id]/page.tsx,187,13,jsx_text,high,Retry,Retry
dashboard/src/app/campaigns/[id]/page.tsx,203,11,jsx_text,high,Back to Creative Clusters,Back to Creative Clusters
dashboard/src/app/campaigns/[id]/page.tsx,215,31,jsx_attr:placeholder,high,Campaign name,"""Campaign name"""
dashboard/src/app/campaigns/[id]/page.tsx,221,31,jsx_attr:placeholder,high,Description (optional),"""Description (optional)"""
dashboard/src/app/campaigns/[id]/page.tsx,226,21,jsx_text,high,Save,Save
dashboard/src/app/campaigns/[id]/page.tsx,236,21,jsx_text,high,Cancel,Cancel
dashboard/src/app/campaigns/[id]/page.tsx,247,23,jsx_text,high,AI Generated,AI Generated
dashboard/src/app/campaigns/[id]/page.tsx,266,52,jsx_text,high,creative,creative
dashboard/src/app/campaigns/[id]/page.tsx,279,36,jsx_text,high,Yesterday,Yesterday
dashboard/src/app/campaigns/[id]/page.tsx,280,36,jsx_text,high,Last 7 days,Last 7 days
dashboard/src/app/campaigns/[id]/page.tsx,281,37,jsx_text,high,Last 30 days,Last 30 days
dashboard/src/app/campaigns/[id]/page.tsx,282,37,jsx_text,high,All time,All time
dashboard/src/app/campaigns/[id]/page.tsx,287,23,jsx_attr:title,high,Edit campaign,"""Edit campaign"""
dashboard/src/app/campaigns/[id]/page.tsx,294,23,jsx_attr:title,high,Delete campaign,"""Delete campaign"""
dashboard/src/app/campaigns/[id]/page.tsx,309,15,jsx_text,high,Spend,Spend
dashboard/src/app/campaigns/[id]/page.tsx,321,15,jsx_text,high,Impressions,Impressions
dashboard/src/app/campaigns/[id]/page.tsx,330,15,jsx_text,high,Clicks,Clicks
dashboard/src/app/campaigns/[id]/page.tsx,336,80,jsx_text,high,% CTR,% CTR
dashboard/src/app/campaigns/[id]/page.tsx,342,15,jsx_text,high,Win Rate,Win Rate
dashboard/src/app/campaigns/[id]/page.tsx,345,88,jsx_expr_string,high,N/A,"""N/A"""
dashboard/src/app/campaigns/[id]/page.tsx,348,82,jsx_text,high,CPM,CPM
dashboard/src/app/campaigns/[id]/page.tsx,359,13,jsx_text,high,Daily Performance,Daily Performance
dashboard/src/app/campaigns/[id]/page.tsx,370,98,jsx_attr:title,high,imps,} imps`
dashboard/src/app/campaigns/[id]/page.tsx,384,9,jsx_text,high,Creatives (,Creatives (
dashboard/src/app/campaigns/[id]/page.tsx,396,23,jsx_attr:title,high,Remove from Campaign,"""Remove from Campaign"""
dashboard/src/app/campaigns/[id]/page.tsx,405,40,jsx_text,high,No creatives in this campaign,No creatives in this campaign
dashboard/src/app/campaigns/[id]/page.tsx,407,13,jsx_text,high,Browse Creatives,Browse Creatives
dashboard/src/app/connect/page.tsx,15,36,jsx_text,high,Redirecting to Settings...,Redirecting to Settings...
dashboard/src/app/creatives/page.tsx,21,23,property:label,medium,14d,"""14d"""
dashboard/src/app/creatives/page.tsx,22,23,property:label,medium,30d,"""30d"""
dashboard/src/app/creatives/page.tsx,242,74,jsx_text,high,sudo apt install ffmpeg,sudo apt install ffmpeg
dashboard/src/app/import/page.tsx,284,11,jsx_text,high,Import Reports,Import Reports
dashboard/src/app/import/page.tsx,299,21,jsx_text,high,Reference: Required columns by report type,Reference: Required columns by report type
dashboard/src/app/import/page.tsx,310,21,jsx_text,high,Help: Large files and download links,Help: Large files and download links
dashboard/src/app/import/page.tsx,344,73,jsx_text,high,rows (estimated),rows (estimated)
dashboard/src/app/import/page.tsx,346,72,jsx_text,high,rows,rows
dashboard/src/app/import/page.tsx,350,28,jsx_text,high,(aggregated from,(aggregated from
dashboard/src/app/import/page.tsx,350,83,jsx_text,high,hourly rows),hourly rows)
dashboard/src/app/import/page.tsx,359,17,jsx_text,high,Remove,Remove
